day,hour,referrer,isMainConversion,isMicroConversion,spentTime,pageNum,score,visitId
Friday,poledne,Fulltext,false,false,delsiDoba,vice,1015,5831
Wednesday,odpoledne,NA,false,false,kratkaDoba,vice,276,2333
Monday,odpoledne,NA,false,false,kratkaDoba,malo,110,1486
Thursday,odpoledne,Fulltext,false,false,stredniDoba,malo,396,5600
Friday,poledne,Fulltext,true,false,kratkaDoba,malo,193,3301
Friday,odpoledne,NA,false,false,stredniDoba,malo,498,3422
Tuesday,poledne,NA,false,false,delsiDoba,vice,996,4753
Wednesday,poledne,Fulltext,false,false,kratkaDoba,jedna,30,2212
Wednesday,odpoledne,NA,false,false,kratkaDoba,malo,110,2344
Wednesday,odpoledne,Fulltext,true,true,dlouhaDoba,hodne,6446,2465
Thursday,odpoledne,Fulltext,false,false,stredniDoba,malo,325,7910
Friday,odpoledne,NA,false,false,dlouhaDoba,hodne,2615,3312
Friday,odpoledne,Other,false,false,dlouhaDoba,hodne,4502,3433
Monday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,1387
Thursday,rano,Fulltext,false,false,kratkaDoba,malo,193,7800
Monday,odpoledne,NA,false,false,stredniDoba,malo,325,4412
Tuesday,vecer,Fulltext,false,false,stredniDoba,vice,695,2113
Friday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,3444
Tuesday,odpoledne,Other,false,false,delsiDoba,vice,1642,4775
Wednesday,odpoledne,NA,false,false,kratkaDoba,vice,264,2366
Monday,poledne,NA,false,false,stredniDoba,vice,327,1277
Thursday,poledne,NA,false,false,dlouhaDoba,hodne,3146,7811
Thursday,odpoledne,NA,false,false,kratkaDoba,malo,193,7932
Monday,poledne,NA,false,false,dlouhaDoba,hodne,6208,6722
Friday,odpoledne,Fulltext,false,false,dlouhaDoba,hodne,1833,3334
Friday,odpoledne,OwnWebs,false,false,kratkaDoba,malo,193,5996
Friday,odpoledne,Fulltext,false,false,stredniDoba,vice,834,3455
Tuesday,odpoledne,Fulltext,false,false,dlouhaDoba,hodne,4856,4786
Wednesday,poledne,NA,false,false,dlouhaDoba,vice,1459,2245
Wednesday,odpoledne,Catalogue,true,false,stredniDoba,vice,579,2377
Wednesday,odpoledne,Catalogue,false,false,delsiDoba,hodne,1216,2498
Monday,poledne,Fulltext,false,false,delsiDoba,vice,1053,6612
Thursday,odpoledne,NA,false,false,delsiDoba,vice,537,7943
Wednesday,vecer,NA,false,false,kratkaDoba,malo,193,5402
Thursday,poledne,Fulltext,false,false,delsiDoba,malo,350,5523
Monday,odpoledne,NA,false,false,stredniDoba,malo,230,4313
Monday,vecer,Fulltext,false,false,dlouhaDoba,vice,1446,6975
Friday,poledne,NA,false,false,stredniDoba,vice,366,3224
Monday,vecer,Fulltext,false,false,stredniDoba,malo,170,4555
Monday,poledne,Fulltext,false,false,delsiDoba,vice,749,1299
Monday,odpoledne,Catalogue,false,false,kratkaDoba,malo,172,8801
Sunday,vecer,NA,false,false,delsiDoba,vice,603,6502
Monday,poledne,NA,false,false,delsiDoba,vice,1062,4203
Thursday,vecer,NA,false,false,stredniDoba,vice,539,5776
Tuesday,rano,NA,false,false,dlouhaDoba,vice,1894,4566
Saturday,poledne,NA,false,false,kratkaDoba,malo,110,3598
Monday,rano,NA,true,false,delsiDoba,vice,1210,1189
Wednesday,odpoledne,NA,false,false,dlouhaDoba,malo,648,9901
Wednesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,7602
Thursday,poledne,Fulltext,false,false,delsiDoba,malo,412,7844
Wednesday,odpoledne,NA,false,false,stredniDoba,vice,327,5303
Thursday,odpoledne,NA,true,false,dlouhaDoba,vice,1805,7965
Monday,poledne,Fulltext,false,false,kratkaDoba,malo,110,6755
Thursday,poledne,NA,false,false,kratkaDoba,malo,172,5545
Thursday,odpoledne,NA,false,false,stredniDoba,malo,223,5666
Tuesday,rano,Fulltext,false,false,stredniDoba,malo,325,6997
Friday,rano,Partners,false,false,kratkaDoba,malo,172,3125
Monday,podvecer,Fulltext,false,false,dlouhaDoba,hodne,2372,4456
Thursday,vecer,Fulltext,false,false,kratkaDoba,malo,110,5787
Friday,poledne,Catalogue,false,false,delsiDoba,vice,1126,3246
